Country,Admin1,Facility name,Facility type,Ownership,Lat,Long,LL source
Uganda,Central,Al-Hijira Health Centre III,Health Centre III,Private not for profit,0.3942,33.1692,Other
Uganda,Central,All Saints Clinic,Clinic,Private not for profit,,,
Uganda,Central,Allan Galpin Health Centre II,Health Centre II,Private not for profit,0.3567,32.7417,Other
Uganda,Central,Atom Medical Centre Health Centre II,Health Centre II,Private not for profit,0.2303,32.5463,Combination
Uganda,Central,Bakijulura Health Centre II,Health Centre II,MoH,0.4705,32.0249,Other
Uganda,Central,Bamugolodde Health Centre II,Health Centre II,MoH,1.0740,32.7340,Combination
Uganda,Central,Bamugolodde Health Centre III,Health Centre III,MoH,1.0978,32.7300,Other
Uganda,Central,Bamunanika Health Centre III,Health Centre III,MoH,0.6883,32.6078,Geonames
Uganda,Central,Bamusuuta Health Centre II,Health Centre II,Private not for profit,0.9165,31.7536,Other
Uganda,Central,Bananywa Health Centre II,Health Centre II,MoH,1.1978,31.3814,Google Earth
Uganda,Central,Banda Health Centre II,Health Centre II,MoH,1.0900,31.8560,GPS
Uganda,Central,Baptist Mission - NR Clinic,Clinic,Private not for profit,0.2636,33.3573,Combination
Uganda,Central,Batuusa Health Centre II,Health Centre II,MoH,1.0002,32.5396,Other
Uganda,Central,Bbaala Health Centre II,Health Centre II,Private not for profit,-0.2282,31.7705,Other
Uganda,Central,Bbaale Health Centre IV,Health Centre IV,MoH,1.0993,32.8862,Other
Uganda,Central,Bbaka Health Centre II,Health Centre II,MoH,-0.7210,31.6820,GPS
Uganda,Central,Bbale-Ggunda Health Centre II,Health Centre II,MoH,-0.6716,31.2985,GPS
Uganda,Central,Bbanda Health Centre II,Health Centre II,Private not for profit,0.2527,31.8862,Other
Uganda,Central,Bbira Health Centre II,Health Centre II,Private not for profit,0.3330,32.4500,GPS
Uganda,Central,Bbira Health Centre II,Health Centre II,MoH,0.7473,31.8640,Other
Uganda,Central,Bethlehem Health Centre II,Health Centre II,MoH,-0.5824,31.4688,Other
Uganda,Central,Bidabuja Health Centre III,Health Centre III,MoH,0.5667,32.2667,Other
Uganda,Central,Bigasa Health Centre III,Health Centre III,MoH,-0.0856,31.6292,Other
Uganda,Central,Birongo Health Centre III,Health Centre III,Private not for profit,-0.0138,31.8062,Other
Uganda,Central,Bishop Ascili Hospital,Hospital,Private not for profit,0.4715,32.8352,Google Earth
Uganda,Central,Biwolobo Health Centre II,Health Centre II,MoH,-0.4500,31.1833,Other
Uganda,Central,Bombo Health Centre III,Health Centre III,MoH,0.5771,32.5440,Other
Uganda,Central,Bowa Health Centre III,Health Centre III,MoH,0.6590,32.4827,Other
Uganda,Central,Brother Harmans Health Centre II,Health Centre II,Private not for profit,0.0357,32.4345,Other
Uganda,Central,Bubeke Health Centre III,Health Centre III,MoH,-0.3236,32.5850,Other
